job_id,title,industry,location,pay_rate,required_experience,required_skills,job_type,posting_duration,filled
0,Data Scientist,Healthcare,Seattle,71,13,Machine Learning,Contract,54,0
1,Product Manager,Finance,San Francisco,34,4,SQL,Full-time,63,1
2,Data Scientist,Education,San Francisco,91,4,Machine Learning,Contract,79,1
3,Data Scientist,Tech,Seattle,80,9,Communication,Part-time,7,1
4,Marketing Analyst,Healthcare,Seattle,40,13,Machine Learning,Part-time,76,1
5,Marketing Analyst,Finance,New York,94,3,Communication,Full-time,49,1
6,HR Specialist,Finance,Chicago,94,5,Python,Contract,85,1
7,Product Manager,Finance,San Francisco,43,6,Python,Part-time,31,1
8,Marketing Analyst,Education,New York,22,8,Communication,Full-time,58,0
9,Software Engineer,Education,Seattle,41,0,Communication,Full-time,61,1
10,Product Manager,Education,New York,72,14,Machine Learning,Part-time,24,1
11,Product Manager,Retail,Seattle,21,5,Communication,Part-time,20,1
12,Marketing Analyst,Finance,Austin,49,6,SQL,Contract,37,0
13,Product Manager,Healthcare,Seattle,57,2,Python,Full-time,4,1
14,Marketing Analyst,Education,Seattle,21,7,Python,Part-time,20,0
15,Data Scientist,Education,Seattle,83,14,Communication,Full-time,60,0
16,HR Specialist,Finance,Chicago,79,4,Excel,Contract,24,0
17,Data Scientist,Education,Seattle,40,14,Excel,Part-time,50,1
18,Marketing Analyst,Retail,San Francisco,52,8,Communication,Contract,49,1
19,Marketing Analyst,Retail,San Francisco,95,4,SQL,Full-time,51,1
20,Data Scientist,Education,New York,77,8,Excel,Contract,36,0
21,Software Engineer,Finance,Chicago,41,9,Communication,Contract,66,1
22,Software Engineer,Finance,New York,68,3,SQL,Full-time,79,1
23,Software Engineer,Finance,San Francisco,78,8,SQL,Contract,34,1
24,Marketing Analyst,Tech,San Francisco,61,4,Machine Learning,Full-time,36,0
25,Product Manager,Education,Austin,79,9,SQL,Part-time,6,1
26,Marketing Analyst,Finance,Seattle,99,8,Excel,Full-time,39,1
27,Product Manager,Retail,San Francisco,34,2,Excel,Full-time,42,1
28,Data Scientist,Healthcare,New York,81,14,Communication,Part-time,58,0
29,HR Specialist,Healthcare,New York,81,3,Communication,Full-time,12,0
30,Product Manager,Finance,Seattle,66,8,SQL,Part-time,3,1
31,Software Engineer,Healthcare,Seattle,81,9,Python,Part-time,18,1
32,Marketing Analyst,Healthcare,Austin,70,10,Machine Learning,Full-time,40,1
33,Data Scientist,Tech,Chicago,74,5,Python,Contract,21,1
34,Software Engineer,Retail,New York,83,1,SQL,Contract,15,0
35,Data Scientist,Retail,Seattle,22,6,SQL,Part-time,26,1
36,HR Specialist,Tech,New York,70,1,Python,Contract,8,1
37,Marketing Analyst,Tech,Seattle,26,10,Machine Learning,Contract,87,1
38,Marketing Analyst,Healthcare,San Francisco,40,1,Python,Full-time,42,1
39,HR Specialist,Education,New York,92,10,Communication,Part-time,44,1
40,Marketing Analyst,Healthcare,San Francisco,58,0,Excel,Part-time,14,0
41,Product Manager,Tech,New York,37,10,Communication,Full-time,78,1
42,Data Scientist,Retail,Chicago,23,10,Excel,Contract,2,0
43,Software Engineer,Healthcare,Austin,79,11,SQL,Part-time,37,1
44,HR Specialist,Education,San Francisco,33,10,Machine Learning,Contract,69,1
45,Product Manager,Healthcare,Seattle,28,2,Python,Part-time,38,1
46,Software Engineer,Finance,Chicago,72,5,Machine Learning,Part-time,41,1
47,Software Engineer,Healthcare,New York,21,7,Python,Part-time,62,1
48,HR Specialist,Tech,San Francisco,79,8,Communication,Part-time,60,1
49,Product Manager,Retail,New York,90,6,Communication,Contract,14,1
50,Software Engineer,Retail,New York,63,3,Python,Contract,89,0
51,Software Engineer,Tech,New York,27,5,Machine Learning,Contract,84,1
52,Product Manager,Finance,Austin,66,4,Python,Contract,2,1
53,Marketing Analyst,Tech,Austin,54,7,SQL,Full-time,70,1
54,Software Engineer,Healthcare,Seattle,97,0,Communication,Part-time,17,1
55,Data Scientist,Tech,San Francisco,55,0,SQL,Part-time,89,1
56,Product Manager,Tech,Chicago,69,12,Communication,Part-time,28,0
57,Software Engineer,Finance,Chicago,23,14,Communication,Full-time,66,1
58,HR Specialist,Healthcare,Chicago,21,10,Excel,Contract,35,0
59,Data Scientist,Education,New York,25,5,SQL,Part-time,5,0
60,Software Engineer,Education,Austin,73,9,SQL,Contract,65,0
61,Data Scientist,Retail,San Francisco,23,11,Excel,Contract,40,1
62,Data Scientist,Tech,New York,73,1,Machine Learning,Full-time,76,1
63,Marketing Analyst,Retail,Austin,82,4,SQL,Full-time,56,0
64,Data Scientist,Finance,Austin,37,0,Python,Contract,36,1
65,Marketing Analyst,Education,San Francisco,63,6,Excel,Part-time,45,1
66,Product Manager,Tech,San Francisco,53,0,SQL,Part-time,23,0
67,Marketing Analyst,Finance,San Francisco,93,3,Machine Learning,Full-time,47,1
68,HR Specialist,Finance,New York,81,8,SQL,Full-time,31,1
69,Software Engineer,Tech,Seattle,33,0,Communication,Full-time,11,1
70,Product Manager,Finance,San Francisco,67,3,Python,Full-time,10,1
71,Product Manager,Tech,Seattle,34,5,Excel,Full-time,67,1
72,HR Specialist,Tech,New York,91,5,Communication,Full-time,14,1
73,Marketing Analyst,Healthcare,Seattle,97,11,Machine Learning,Full-time,80,1
74,Software Engineer,Retail,Chicago,81,14,Communication,Part-time,74,1
75,Marketing Analyst,Finance,Seattle,59,12,Communication,Full-time,10,0
76,Data Scientist,Finance,San Francisco,99,7,Machine Learning,Full-time,76,1
77,Marketing Analyst,Healthcare,New York,72,0,Communication,Part-time,1,1
78,Product Manager,Healthcare,San Francisco,43,6,Excel,Part-time,5,0
79,Software Engineer,Healthcare,Chicago,45,0,SQL,Contract,20,0
80,Marketing Analyst,Education,San Francisco,79,12,Communication,Full-time,8,1
81,Software Engineer,Education,San Francisco,60,13,Excel,Full-time,43,1
82,Software Engineer,Education,San Francisco,48,6,SQL,Full-time,76,1
83,Data Scientist,Tech,Austin,34,2,SQL,Full-time,1,1
84,Data Scientist,Finance,Chicago,64,10,Communication,Contract,57,0
85,Product Manager,Retail,San Francisco,84,7,Excel,Part-time,64,1
86,HR Specialist,Tech,San Francisco,90,2,Communication,Part-time,84,0
87,Software Engineer,Finance,San Francisco,28,13,Machine Learning,Full-time,28,1
88,HR Specialist,Finance,New York,20,13,SQL,Full-time,37,1
89,Product Manager,Healthcare,Austin,27,12,Communication,Full-time,47,1
90,Software Engineer,Healthcare,New York,82,0,SQL,Contract,76,1
91,Software Engineer,Tech,Austin,30,12,Excel,Contract,37,1
92,HR Specialist,Healthcare,San Francisco,27,12,Python,Part-time,49,1
93,Marketing Analyst,Finance,Chicago,54,13,Communication,Full-time,44,1
94,Data Scientist,Healthcare,Seattle,54,7,Communication,Full-time,56,1
95,Marketing Analyst,Education,Seattle,52,2,SQL,Full-time,28,1
96,HR Specialist,Healthcare,San Francisco,24,1,Excel,Full-time,79,1
97,Data Scientist,Finance,New York,60,0,Machine Learning,Contract,6,1
98,Marketing Analyst,Tech,Chicago,47,13,Excel,Part-time,61,1
99,Data Scientist,Retail,Austin,26,2,Communication,Part-time,20,0
100,Software Engineer,Healthcare,San Francisco,92,14,Machine Learning,Contract,78,1
101,Marketing Analyst,Finance,Chicago,91,1,Excel,Full-time,2,1
102,Data Scientist,Retail,Chicago,31,1,Python,Part-time,73,0
103,Data Scientist,Retail,Austin,53,5,SQL,Part-time,37,0
104,Data Scientist,Education,Chicago,52,11,Excel,Contract,20,0
105,Marketing Analyst,Retail,New York,67,0,Excel,Full-time,26,1
106,Product Manager,Finance,New York,42,1,Python,Part-time,29,1
107,Marketing Analyst,Finance,New York,81,13,Communication,Full-time,1,1
108,HR Specialist,Healthcare,Chicago,56,5,SQL,Part-time,35,1
109,Marketing Analyst,Healthcare,New York,63,2,Excel,Contract,70,1
110,Data Scientist,Healthcare,Austin,54,14,Machine Learning,Full-time,59,1
111,Software Engineer,Retail,Chicago,84,3,Excel,Contract,69,1
112,Marketing Analyst,Retail,Seattle,66,0,SQL,Part-time,33,1
113,Marketing Analyst,Education,Chicago,97,7,Excel,Contract,51,1
114,Data Scientist,Healthcare,Austin,22,12,Python,Contract,78,1
115,Software Engineer,Tech,Seattle,20,6,Excel,Contract,12,0
116,Software Engineer,Education,Chicago,24,6,Excel,Part-time,20,1
117,HR Specialist,Tech,New York,33,2,Machine Learning,Full-time,53,1
118,Marketing Analyst,Retail,San Francisco,46,9,Python,Contract,88,1
119,Software Engineer,Education,San Francisco,28,9,Python,Full-time,43,0
120,Software Engineer,Education,New York,98,2,Excel,Part-time,89,0
121,Product Manager,Finance,San Francisco,34,13,Machine Learning,Full-time,50,1
122,Product Manager,Retail,San Francisco,61,1,Excel,Contract,29,0
123,Software Engineer,Retail,New York,96,11,Excel,Contract,57,1
124,HR Specialist,Education,New York,70,0,SQL,Contract,39,0
125,Software Engineer,Retail,Chicago,82,6,SQL,Contract,56,1
126,Data Scientist,Education,Chicago,71,6,Machine Learning,Contract,43,1
127,Marketing Analyst,Finance,New York,23,11,Communication,Contract,50,1
128,HR Specialist,Education,Austin,42,1,SQL,Part-time,23,1
129,Data Scientist,Retail,San Francisco,34,6,Communication,Part-time,44,0
130,HR Specialist,Retail,Chicago,62,12,Python,Part-time,38,0
131,Data Scientist,Education,San Francisco,48,7,SQL,Full-time,84,1
132,Marketing Analyst,Education,Seattle,55,0,SQL,Full-time,23,1
133,Marketing Analyst,Education,New York,32,8,Machine Learning,Part-time,45,1
134,Product Manager,Healthcare,Austin,51,6,Communication,Full-time,52,1
135,Data Scientist,Retail,Seattle,90,2,SQL,Full-time,80,1
136,Product Manager,Retail,Seattle,78,7,SQL,Contract,50,1
137,Data Scientist,Healthcare,Seattle,47,6,Machine Learning,Contract,8,1
138,Product Manager,Education,New York,85,10,Machine Learning,Full-time,85,0
139,Marketing Analyst,Finance,Chicago,61,14,Communication,Full-time,1,1
140,HR Specialist,Education,New York,64,12,Python,Part-time,8,1
141,Product Manager,Education,Chicago,81,7,Python,Full-time,29,1
142,Data Scientist,Healthcare,Seattle,76,5,Excel,Contract,5,0
143,Data Scientist,Retail,Seattle,25,8,SQL,Full-time,86,1
144,Marketing Analyst,Education,Austin,47,14,Communication,Part-time,47,1
145,Data Scientist,Retail,Chicago,47,4,SQL,Contract,34,1
146,Software Engineer,Tech,Seattle,63,2,Communication,Contract,65,1
147,HR Specialist,Retail,San Francisco,49,2,Communication,Contract,55,1
148,Product Manager,Finance,Austin,81,0,Communication,Contract,43,1
149,HR Specialist,Finance,New York,94,11,SQL,Full-time,74,0
150,Marketing Analyst,Education,Austin,81,14,Machine Learning,Part-time,30,1
151,Product Manager,Retail,San Francisco,20,7,SQL,Full-time,82,0
152,Product Manager,Education,Chicago,46,1,Communication,Full-time,17,1
153,Software Engineer,Healthcare,New York,81,2,Excel,Contract,26,1
154,Marketing Analyst,Finance,New York,96,7,Python,Part-time,8,0
155,Data Scientist,Education,Chicago,22,13,Communication,Contract,47,1
156,Software Engineer,Healthcare,Austin,89,7,Excel,Full-time,76,0
157,Software Engineer,Education,Seattle,91,13,Machine Learning,Full-time,72,1
158,HR Specialist,Retail,Austin,46,10,Communication,Contract,89,1
159,HR Specialist,Retail,San Francisco,28,3,Excel,Full-time,46,1
160,HR Specialist,Retail,Seattle,81,3,Communication,Full-time,68,0
161,Software Engineer,Retail,Austin,56,4,SQL,Contract,33,1
162,Data Scientist,Tech,Chicago,70,5,Excel,Full-time,1,1
163,Product Manager,Healthcare,San Francisco,63,4,SQL,Part-time,19,1
