job_id,specialty,state,contract_length,pay_rate,weekly_stipend,shift_type,hospital_type,bed_count,experience_years,certification,agency_rating,travel_experience,certification_rarity,filled
0,Labor & Delivery,Georgia,26,78,1116,Rotating,Government,786,8,TNCC,3.5956918343803967,1,0.172,0
1,Labor & Delivery,Georgia,4,68,1434,Night,Government,913,7,PALS,4.08083471181531,1,0.1605,1
2,Med-Surg,Georgia,4,54,808,Day,Community,889,19,CCRN,3.924148185590148,1,0.176,0
3,Labor & Delivery,Georgia,13,82,1573,Rotating,Private,196,17,BLS,3.9567356365310458,1,0.16,0
4,ICU,Ohio,8,47,1896,Night,Teaching,624,12,ACLS,4.974420319332051,0,0.1645,0
5,Labor & Delivery,Florida,8,60,2182,Rotating,Government,855,15,TNCC,4.4641661202198915,1,0.172,1
6,ICU,North Carolina,8,78,1022,Day,Private,372,8,CCRN,4.576514236690249,0,0.176,1
7,ICU,California,8,58,2239,Rotating,Private,492,11,CCRN,4.964926455972513,1,0.176,1
8,ER,New York,13,62,1352,Rotating,Teaching,886,11,PALS,4.065802673686458,0,0.1605,1
9,Med-Surg,Georgia,8,50,2193,Rotating,Private,62,5,BLS,4.702760252679209,0,0.16,0
10,Pediatrics,Texas,8,50,1515,Night,Teaching,992,18,CEN,4.151796444956743,1,0.167,0
11,ICU,Georgia,26,63,2087,Night,Teaching,543,6,CCRN,4.80430050772247,1,0.176,1
12,Med-Surg,Georgia,8,75,2141,Rotating,Teaching,750,2,ACLS,3.7709863119669547,1,0.1645,1
13,Pediatrics,Texas,26,79,1907,Rotating,Private,336,15,PALS,4.921529265596419,1,0.1605,1
14,Labor & Delivery,Ohio,13,63,2141,Day,Private,769,17,CCRN,3.8281575626163193,0,0.176,1
15,Med-Surg,Texas,26,42,910,Rotating,Teaching,163,15,CCRN,3.9893307604713972,0,0.176,0
16,Med-Surg,Texas,4,61,1050,Day,Private,529,6,PALS,4.634288351160171,1,0.1605,0
17,Med-Surg,Ohio,26,41,1182,Night,Teaching,71,3,PALS,4.0906327123481105,0,0.1605,0
18,Labor & Delivery,Texas,8,63,806,Rotating,Community,398,7,TNCC,4.41231706514967,1,0.172,0
19,Labor & Delivery,California,26,83,1258,Day,Private,775,12,CCRN,4.166860251604143,1,0.176,0
20,Med-Surg,Georgia,26,69,1907,Night,Private,732,12,CEN,4.613554905634673,1,0.167,1
21,ER,Florida,13,77,1007,Day,Community,884,16,ACLS,3.8424968785529163,1,0.1645,0
22,ICU,Ohio,13,41,1699,Night,Community,615,16,BLS,3.5876869808553153,1,0.16,0
23,Labor & Delivery,New York,8,60,2213,Rotating,Community,955,4,BLS,3.9498940962095994,1,0.16,1
24,ER,Ohio,4,72,2137,Day,Teaching,859,5,CEN,4.211462997302645,0,0.167,1
25,Labor & Delivery,Illinois,4,51,821,Rotating,Teaching,369,18,PALS,3.752030078289018,0,0.1605,0
26,Med-Surg,New York,26,61,1209,Day,Government,175,12,PALS,4.032195934484583,1,0.1605,1
27,ER,Illinois,4,83,1694,Night,Community,326,13,PALS,4.099974527440352,1,0.1605,1
28,Pediatrics,North Carolina,13,64,1314,Day,Government,253,3,CCRN,3.5860877655324104,1,0.176,0
29,ICU,North Carolina,8,88,1950,Day,Teaching,243,6,PALS,4.374960872276307,1,0.1605,1
30,ICU,Ohio,8,66,1608,Rotating,Private,730,7,PALS,4.826515141956931,0,0.1605,1
31,Labor & Delivery,Illinois,13,81,1673,Rotating,Community,713,12,CCRN,3.7276143694295785,1,0.176,1
32,ICU,New York,8,67,813,Rotating,Private,596,5,CCRN,4.396712020102271,1,0.176,0
33,Pediatrics,California,26,55,1770,Night,Teaching,745,5,CEN,4.49710880736627,0,0.167,0
34,ER,Ohio,8,54,1777,Rotating,Community,335,2,TNCC,4.129002020628932,1,0.172,1
35,ER,Ohio,4,86,1813,Day,Government,106,2,CCRN,4.551646381046405,0,0.176,1
36,Med-Surg,Texas,8,83,1835,Night,Government,783,12,ACLS,4.116097315236518,1,0.1645,1
37,ER,Ohio,8,42,886,Rotating,Teaching,352,1,PALS,4.256955931966152,1,0.1605,0
38,Labor & Delivery,Georgia,13,76,2347,Day,Private,212,15,TNCC,3.5110295668316405,1,0.172,1
39,Pediatrics,North Carolina,13,46,1708,Day,Teaching,68,5,BLS,4.537580171202033,1,0.16,0
40,Med-Surg,Georgia,4,60,2360,Night,Private,419,7,CEN,4.492014018417087,1,0.167,1
41,Labor & Delivery,Ohio,13,48,2124,Day,Teaching,313,7,TNCC,3.557601315989517,1,0.172,0
42,Labor & Delivery,North Carolina,4,78,2066,Rotating,Government,843,5,CCRN,4.0523751610927,1,0.176,1
43,Labor & Delivery,North Carolina,26,57,921,Day,Private,162,13,PALS,4.9685477611875015,1,0.1605,0
44,ICU,California,4,43,1970,Rotating,Teaching,537,2,PALS,4.131104843852925,1,0.1605,0
45,Labor & Delivery,Texas,8,64,2390,Rotating,Community,376,9,PALS,4.252918107697763,0,0.1605,1
46,ICU,Florida,4,53,1549,Night,Government,591,2,TNCC,4.864895237239578,1,0.172,0
47,ER,Illinois,26,89,2179,Day,Government,696,11,PALS,4.575892813798634,0,0.1605,1
48,ICU,New York,8,48,1484,Night,Community,628,16,CCRN,4.3731051966863355,0,0.176,0
49,Labor & Delivery,Florida,4,65,2454,Night,Teaching,114,4,TNCC,4.6967070220116085,1,0.172,1
50,Pediatrics,Texas,13,41,1108,Night,Private,341,19,PALS,4.796549399683959,1,0.1605,0
51,Pediatrics,Georgia,13,59,1494,Rotating,Government,74,8,BLS,4.1853321076059,0,0.16,0
52,ER,Georgia,13,67,1087,Rotating,Teaching,598,19,BLS,4.212662547397753,1,0.16,1
53,Labor & Delivery,Georgia,4,86,1106,Rotating,Community,50,6,ACLS,4.079076403477754,1,0.1645,1
54,ICU,California,4,46,2417,Rotating,Private,960,3,PALS,4.950059210027691,1,0.1605,1
55,Pediatrics,North Carolina,26,83,1713,Day,Teaching,598,12,PALS,4.545749381435526,0,0.1605,0
56,Med-Surg,Georgia,8,47,1461,Day,Teaching,190,12,TNCC,3.6248345993121083,1,0.172,0
57,Labor & Delivery,New York,8,86,1348,Rotating,Government,793,9,TNCC,4.794439434969528,1,0.172,1
58,Labor & Delivery,Illinois,8,74,2175,Rotating,Government,697,17,PALS,4.220839911254402,1,0.1605,1
59,Med-Surg,Ohio,8,53,1111,Day,Private,950,16,ACLS,3.603130859633731,0,0.1645,0
60,Pediatrics,Ohio,4,56,1672,Night,Teaching,237,19,PALS,4.324575882744966,0,0.1605,1
61,Med-Surg,Florida,4,75,1882,Night,Community,177,19,CCRN,4.125746418463553,1,0.176,1
62,ER,Illinois,26,89,2466,Rotating,Community,250,12,TNCC,4.816624107293937,1,0.172,1
63,ICU,Texas,8,79,1723,Night,Private,176,16,PALS,3.805991905414081,0,0.1605,0
64,ICU,Illinois,4,43,1554,Rotating,Teaching,306,3,TNCC,4.739696914238275,0,0.172,0
65,Pediatrics,California,4,41,834,Rotating,Government,725,0,PALS,4.336533036778179,1,0.1605,0
66,Med-Surg,Florida,4,45,1244,Rotating,Teaching,596,0,CEN,3.5819154548202037,0,0.167,0
67,Labor & Delivery,Florida,4,81,892,Day,Government,243,14,TNCC,4.957767951988227,1,0.172,1
68,Labor & Delivery,California,8,43,2030,Night,Community,752,12,ACLS,4.2689228661548,0,0.1645,0
69,Labor & Delivery,Illinois,8,68,1152,Day,Private,153,16,CEN,3.936315281347374,0,0.167,0
70,ER,Georgia,4,57,1702,Night,Private,584,7,CCRN,4.204110262983887,1,0.176,1
71,ER,California,13,65,2155,Day,Private,314,17,PALS,4.786786675276233,1,0.1605,1
72,Labor & Delivery,Georgia,26,83,1661,Day,Government,851,12,CCRN,3.9573546865775953,1,0.176,1
73,Pediatrics,New York,8,73,958,Rotating,Community,991,13,TNCC,3.7890145947300504,1,0.172,0
74,ER,California,8,49,1756,Rotating,Community,433,7,CEN,3.693606870396322,1,0.167,0
75,ER,Georgia,13,75,823,Day,Private,309,7,CCRN,3.946789097585317,1,0.176,0
76,ICU,Illinois,8,53,1203,Night,Private,463,14,ACLS,4.670072130560065,0,0.1645,0
77,ICU,Georgia,13,70,1604,Night,Government,407,12,TNCC,4.207439547792893,1,0.172,1
78,Pediatrics,California,13,87,1315,Rotating,Government,124,6,CEN,3.84122240554031,1,0.167,0
79,ER,Texas,4,54,1531,Rotating,Teaching,404,4,CCRN,3.7492774994146236,1,0.176,0
80,ER,Ohio,8,47,2187,Night,Government,633,16,CEN,3.999094214765569,0,0.167,0
